year,number,0-19,20-39,40-59,60-79,80-99,80-94,95-99
2017,17318,3.5,8.9,14.8,23.2,49.6,28.4,21.2
2016,16915,3.5,8.8,14.4,22.6,50.7,27.8,22.9
2015,16667,3.4,8.6,14.1,22.4,51.6,28.2,23.4
2014,16239,3.6,9,14.9,23.4,49.2,28.6,20.6
2013,16088,3.4,8.5,13.8,22.5,51.9,29.0,22.9
2013,15811,3.5,9.1,14.9,23.5,48.9,28.8,20.1
2012,15589,3.4,8.9,14.6,23.1,50,28.7,21.3
2011,14939,3.5,9.1,14.7,22.9,49.7,28.9,20.8
2010,14435,3.5,9,14.7,23.4,49.4,28.8,20.6
2009,13298,3.7,9,14.7,23.1,49.5,28.6,20.9
2008,13425,3.7,9.2,14.7,23.2,49.2,28.9,20.3
2007,13339,3.9,9.5,15.2,23.5,47.9,28.0,19.9
2006,12973,3.8,9.3,15,22.9,48.9,28.2,20.7
2005,12519,3.9,9.5,15.2,23.3,48.1,28.3,19.8
2004,12178,3.8,9.3,14.9,22.9,49.1,28.1,21
2003,11693,3.9,9.4,15,23.1,48.6,28.2,20.4
2002,11339,3.9,9.4,14.8,22.9,49,27.6,21.4
2001,10499,4,9.4,15.2,23.2,48.3,27.8,20.5
2000,10034,4,9.4,15.1,22.9,48.5,26.9,21.6
1999,9579,4.1,9.5,15.2,23.4,47.8,27.9,19.9
1998,9060,3.6,8.9,14.8,22.9,49.7,27.8,21.9
1997,8590,3.6,8.9,14.9,23.1,49.5,28.0,21.5
1996,8225,3.8,8.9,14.7,23.1,49.5,28.0,21.5
1995,7939,3.8,8.9,14.8,23.3,49.3,28.5,20.8
1994,7735,3.7,8.7,14.8,23.2,49.6,28.6,21
1993,7362,3.9,9.1,15.1,23.1,48.7,28.3,20.4
1992,7153,3.9,9.4,15.7,24.1,46.9,28.8,18.1
1991,6379,4,9.4,15.8,24.3,46.5,28.8,17.7
1990,6220,4,9.5,15.9,24.3,46.3,28.4,17.9
1989,5933,3.8,9.5,15.7,24.4,46.6,28.5,18.1
1988,5910,3.7,9.3,15.6,24.2,47.2,28.2,19
1987,5642,3.7,9.1,15.4,24.1,47.6,28.4,19.2
1986,5418,3.9,9.5,15.8,24.8,46.1,29.2,16.9
1985,5213,4.1,9.4,16.1,24.7,45.6,29.0,16.6
1984,4883,3.9,9.5,16.2,24.9,45.5,28.6,16.9
1983,4666,4.1,9.6,16.3,24.8,45.2,28.9,16.3
1982,4085,4.2,9.6,16.1,24.6,45.5,28.5,17
1981,3980,4.4,10.2,16.6,24.7,44,28.1,15.9
1980,3906,4.3,10.1,16.3,24.7,44.5,28.0,16.5
1979,3684,4.5,10.5,16.6,24.5,43.9,27.6,16.3
1978,3291,4.7,10.7,16.9,24.9,42.8,27.3,15.5
1977,3304,4.9,10.7,16.9,24.6,42.9,27.3,15.6
1976,3081,4.7,10.4,16.8,25.1,42.9,27.5,15.4
1975,2948,4.7,10.6,16.8,24.8,43.1,27.0,16.1
1974,2897,5.1,10.9,17.1,24.7,42.3,26.9,15.4
1973,2722,5.1,11.3,17.3,24.9,41.4,26.7,14.7
1972,2655,5.3,11.2,17.2,24,42.3,26.1,16.2
